year_month,domestic_consumption,import_volume,export_volume,stock,exchange_rate_usd,china_pmi,thai_price,oil_price_thb,world_price_thb_kg,month,quarter,year,is_season,thai_price_lag6,thai_price_lag12,world_price_thb_kg_lag6,world_price_thb_kg_lag12,oil_price_thb_lag6,oil_price_thb_lag12,china_pmi_lag6,china_pmi_lag12,stock_lag6,stock_lag12,thai_price_ma6,thai_price_std6,thai_price_ma12,thai_price_std12,world_price_thb_kg_ma6,world_price_thb_kg_std6,world_price_thb_kg_ma12,world_price_thb_kg_std12,oil_price_thb_ma6,oil_price_thb_std6,oil_price_thb_ma12,oil_price_thb_std12,china_pmi_ma6,china_pmi_std6,china_pmi_ma12,china_pmi_std12,thai_price_pct6,thai_price_pct12,world_price_thb_kg_pct6,world_price_thb_kg_pct12,oil_price_thb_pct6,oil_price_thb_pct12,exchange_rate_usd_pct6,exchange_rate_usd_pct12
2008-09,33813000,414000,256884000.0,193703000.0,34.28,48.4,89.49,3449.9392000000003,97.27185183493359,9,3,2008,0,79.25,65.87,87.808372047869,73.9962327822993,3194.691,2793.5886,53.4,54.0,246450000.0,226305000.0,91.16666666666667,6.523694249937384,83.82416666666667,9.189766500479344,99.62437806745562,6.627471087367022,92.58413921508931,9.00588342222972,3972.3005166666667,431.5598841922721,3572.378525,515.5856881263798,53.28333333333333,4.701666371263134,53.84166666666666,3.3489369638556603,12.921135646687688,35.858509184757835,10.777423116221252,31.45514058953831,7.9897617641268015,23.49489112319545,8.998410174880767,0.20461853259281515
2008-10,35003000,449000,249667000.0,239031000.0,34.43,51.2,57.5,2334.6983,66.09621159709502,10,4,2008,0,81.1,71.15,89.5576570862688,79.675500758964,3584.2014,3230.0901000000003,58.4,56.1,236850000.0,235707000.0,87.23333333333333,15.179413251725709,82.68666666666667,11.464452041247315,95.71413715259332,15.170207886162911,91.45253178493357,11.328869945072578,3764.0499999999997,800.2662179228571,3497.762541666667,623.1879224563256,52.083333333333336,4.0012081508797595,53.43333333333334,3.347273879479,-29.09987669543772,-19.184820801124392,-26.197029101123004,-17.04324294484114,-34.861408736685384,-27.72033510768013,8.990186767964548,0.7609013754755534
2008-11,30183000,338000,161349000.0,230426000.0,35.1,44.6,50.11,1910.4930000000002,57.96063221691599,11,4,2008,0,89.65,75.92,97.82636610261241,84.164791833936,4086.6615,3007.269,59.2,53.2,210783000.0,230390000.0,80.64333333333333,21.278185699600098,80.53583333333334,14.78853576766525,89.06984817164393,21.47865081406985,89.26885181684857,14.842049972354888,3401.3552500000005,1071.8619855181119,3406.3645416666664,765.7790213114381,49.650000000000006,3.1583223394707405,52.71666666666667,4.210988511314677,-44.10485220301171,-33.996311907270815,-40.75152279895617,-31.134348515615596,-53.2505200149315,-36.47083117606039,9.379869118105312,3.539823008849563
2008-12,26797000,39000,170530000.0,251721000.0,35.03,38.8,33.91,1562.3380000000002,42.75030411768687,12,4,2008,0,97.94,73.57,106.986988972952,83.52645138818198,4648.0,3235.4858000000004,53.3,55.4,182498000.0,230390000.0,69.97166666666666,26.32614245700775,77.23083333333334,20.000177025731688,78.36373402909975,26.242763385882892,85.87083954430729,20.035407724836034,2887.0782500000005,1094.11305601525,3266.935558333333,933.6410469274134,47.23333333333333,4.88330489183981,51.333333333333336,5.709375596067371,-65.3767612824178,-53.90784287073536,-60.04158587125503,-48.8182445115398,-66.3868760757315,-51.71241363507143,5.5120481927710685,3.915752002373174
2009-01,30892000,205000,214323000.0,292861000.0,34.92,41.2,44.03,1455.4656,51.847887854466,1,1,2009,0,98.85,77.75,107.03978609455999,87.07850177628137,4156.68,3045.1825,52.0,55.3,186280000.0,260492000.0,60.835,23.678972739542555,74.42083333333333,22.171542964445262,69.16508432241741,23.733926554093607,82.9349550508227,22.29607174984857,2436.8758500000004,1020.4851656891,3134.45915,1070.6918177884318,45.43333333333334,4.763891966309335,50.15833333333333,6.244627994354726,-55.45776428932726,-43.369774919614144,-51.56204085772082,-40.45845208996413,-64.98490141170356,-52.2043227294259,4.238805970149251,5.212413377523362
2009-02,28160000,178000,210237000.0,301937000.0,35.28,45.3,44.5,1579.1328,51.6199346879832,2,1,2009,0,89.97,81.25,99.063618313407,91.0097843711056,3908.321,3322.0208,48.4,53.0,182845000.0,256818000.0,53.25666666666666,19.37454997326818,71.35833333333333,23.63245527710235,61.25780371818012,19.262688129827517,79.65246757722916,23.844942123912528,2048.677816666667,758.0680574749373,2989.218483333334,1157.6195450884359,44.916666666666664,4.540668085939186,49.51666666666666,6.321224469031197,-50.539068578415026,-45.230769230769226,-47.89213682396144,-43.28089551613985,-59.59562175164219,-52.46469257507358,4.224519940915794,8.15450643776825
2009-03,20865000,168000,202016000.0,221679000.0,35.79,49.0,44.01,1777.3313999999998,51.20898415034819,3,1,2009,0,89.49,79.25,97.27185183493359,87.808372047869,3449.9392000000003,3194.691,48.4,53.4,193703000.0,246450000.0,45.67666666666667,7.807354652292049,68.42166666666667,24.726848063421176,53.58065910408254,7.817820493352249,76.60251858576909,25.018685052530905,1769.90985,321.609028728645,2871.1051833333336,1206.0436993017704,45.01666666666667,4.638282728194415,49.15,6.201979156248867,-50.821320817968484,-44.46687697160884,-47.35477614094592,-41.680977615173795,-48.48223991889481,-44.36609362220009,4.404900816802804,13.799682034976147
2009-04,26922000,234000,189940000.0,207862000.0,35.47,52.4,48.85,1813.2263999999998,57.68711711687979,4,2,2009,0,57.5,81.1,66.09621159709502,89.5576570862688,2334.6983,3584.2014,51.2,58.4,239031000.0,236850000.0,44.23499999999999,5.702321457090931,65.73416666666667,24.97494251820972,52.179143357380006,5.550316228961673,73.94664025498668,25.20929327559069,1682.9978666666666,175.91475774806995,2723.5239333333334,1219.1350903095283,45.21666666666667,4.9720887629513015,48.65,5.601217400140465,-15.04347826086956,-39.765721331689264,-12.722505990925537,-35.586616495213654,-22.33572963153313,-49.4105883670488,3.0206215509729795,12.282367837923381
2009-05,34923000,218000,183636000.0,181139000.0,34.71,53.5,52.14,2301.6201,58.772707966641235,5,2,2009,1,50.11,89.65,57.96063221691599,97.82636610261241,1910.4930000000002,4086.6615,44.6,59.2,230426000.0,210783000.0,44.57333333333333,6.162287454076311,62.60833333333333,24.039379750481913,52.31448931566755,5.726597957957089,70.69216874365574,24.352526541910315,1748.1857166666668,303.3719522718095,2574.7704833333332,1144.2950114270377,46.699999999999996,5.977290356005797,48.17499999999999,4.81118488524396,4.051087607264026,-41.84049079754602,1.4010815939447863,-39.92140329019976,20.472574356461905,-43.67969796372907,-1.1111111111111072,8.164537239015267
2009-06,35550000,325000,217705000.0,200917000.0,34.15,53.1,49.97,2386.7435,57.18883329167358,6,2,2009,1,33.91,97.94,42.75030411768687,106.986988972952,1562.3380000000002,4648.0,38.8,53.3,251721000.0,182498000.0,47.25,3.5298441891958343,58.61083333333334,21.4824458817102,54.72091084466533,3.507421391968781,66.54232243688254,21.70436160425881,1885.5866333333333,379.50370343024844,2386.332441666667,939.7527999940079,49.083333333333336,4.96202243713856,48.15833333333333,4.792125801454886,47.360660572102645,-48.978966714314886,33.77409698475835,-46.545992329841326,52.76742292640899,-48.650096815834765,-2.512132457893246,2.8614457831325213
